geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
deu,Germany,-2.07262,-7.39664,-8.23119,-9.61742,-10.08963,-7.23925,-10.38572,-10.47162,-14.01812,-13.94783,-12.55768,-14.08841,-13.30218,-14.73862,-16.87334,-15.51542,-18.36458,-18.03266,-24.13335,-19.51106,-22.15961,-20.98323,-19.22479,-23.08008,-22.4716,-22.0445,-23.50207,-26.23976,-31.19578,-36.57138,-33.09153,-34.8982,-42.45485
dji,Djibouti,25.56515,7.5113,5.75421,8.25113,10.21373,14.37526,15.40279,17.60173,21.11591,-23.98274,-22.9141,-20.01644,-15.73161,-18.70119,-22.42088,-24.9178,-23.06823,-16.70777,-24.9589,-16.194,-34.96712,-17.04686,-8.91903,-8.97041,-16.80025,-24.08549,-31.79203,-26.19194,-27.30169,-24.49651,-18.53679,-23.08878,-23.01685
dma,Dominica,0.46948,1.40845,82.15962,140.37559,176.52582,203.28638,195.30516,69.48357,190.61033,160.0939,161.97183,138.02817,170.42254,188.73239,184.03756,201.40845,260.56338,245.53991,252.11268,262.9108,179.34272,154.92958,181.22066,214.08451,239.9061,264.78873,224.88263,251.64319,294.83568,221.12676,254.46009,255.86854,275.11737
dnk,Denmark,20.32942,9.46668,13.89616,21.48819,15.56861,41.17938,22.55045,14.94125,9.26277,1.39206,4.44093,3.52745,13.88262,3.26746,-3.3491,11.81837,2.7803,-3.41815,-7.59718,-7.38069,-17.04975,-26.38748,-23.05516,-30.94209,-35.00629,-31.89181,-35.96231,-35.8059,-42.3908,-46.97917,-43.92878,-46.32148,-48.93202
dom,Dominican Republic,4.71237,21.50642,19.99528,40.22294,49.08101,60.37356,82.4653,108.64308,126.19518,136.21767,137.86054,161.14653,133.52968,116.49828,133.45885,155.68728,157.84091,157.42211,146.48747,159.98459,162.46629,171.87861,166.89408,169.59202,196.61485,208.99974,195.50634,218.39342,254.47936,234.29395,268.66619,268.3928,289.60096
dza,Algeria,4.20251,17.49172,14.98546,12.46284,16.15509,12.95287,10.34032,12.85988,17.72925,21.86399,18.93172,24.28627,33.73522,33.90069,40.51827,46.20569,50.93287,57.57137,60.87393,64.37895,72.94375,94.37536,101.91881,114.81749,128.46965,123.10402,130.81072,142.29129,151.73373,138.21337,149.09069,158.65606,149.94367
ecu,Ecuador,0.21249,5.56679,2.99132,7.95939,18.50109,36.53335,42.28927,39.60727,23.59677,25.57009,38.48104,38.40698,41.48717,49.4027,60.85644,72.22244,75.68317,81.56613,97.52935,112.9081,115.03409,116.03386,129.8557,142.35136,140.75971,133.40359,126.52315,135.68112,132.57359,103.4425,127.23808,140.74262,158.22002
egy,Egypt,2.37473,6.49622,6.86572,1.88184,8.98964,16.85011,24.34238,31.27838,41.42309,39.7913,54.31411,58.42194,61.58344,75.31358,94.9524,106.41502,120.71007,120.77947,129.87195,131.41401,139.70496,154.57815,149.9853,154.74394,161.62857,173.3278,186.4197,180.40697,159.08368,147.19801,172.93338,170.11833,172.4912
eri,Eritrea,14.88457,49.14945,107.65492,134.14338,153.34143,178.58445,160.87485,94.22843,106.31835,103.61482,123.35966,120.38275,112.7582,117.89186,83.53584,65.06683,60.99635,40.64399,46.08141,56.95626,87.30255,92.67922,80.28554,80.92345,75.45565,81.3791,78.03767,98.96719,104.58688,104.07047,116.34265,102.7339,103.06804
esp,Spain,3.32251,6.87314,0.555,5.24091,10.62379,6.74459,15.2223,18.67866,28.16147,35.12291,35.41434,42.92414,46.55064,53.32788,59.79216,55.95024,61.62942,48.00074,31.04036,25.63411,26.46178,23.97505,12.41458,11.30065,18.66119,14.97404,21.5155,18.68341,11.17573,-5.63989,2.48833,1.57567,-6.2794
